,graph_file_pretty,cur_clique,exec_time
16,c-fat500-2,26,9.10777
17,c-fat500-2,24,8.22805
18,c-fat500-2,24,7.95538
19,c-fat500-2,26,10.3543
20,c-fat500-2,24,8.43387
1,C1000.9,51,0.0939089
2,C1000.9,45,0.0604741
3,C1000.9,51,0.0953759
4,C1000.9,51,0.100231
5,C1000.9,48,0.0968536
6,C1000.9,46,0.0751807
7,C1000.9,49,0.0889903
8,C1000.9,51,0.0900492
9,C1000.9,49,0.0835012
10,C1000.9,47,0.0719835
11,C1000.9,46,0.0757646
12,C1000.9,48,0.0828701
13,C1000.9,47,0.0702619
14,C1000.9,49,0.0813947
15,C1000.9,52,0.102998
16,C1000.9,51,0.0938361
17,C1000.9,47,0.0723436
18,C1000.9,50,0.0952509
19,C1000.9,48,0.0846446
20,C1000.9,53,0.099267
1,C125.9,34,0.0504233
2,C125.9,34,0.0526127
3,C125.9,34,0.0518071
4,C125.9,34,0.0556107
5,C125.9,34,0.0505377
6,C125.9,34,0.049765
7,C125.9,33,0.0650288
8,C125.9,34,0.056456
9,C125.9,34,0.0476927
10,C125.9,34,0.0557741
11,C125.9,34,0.0506085
12,C125.9,34,0.0545834
13,C125.9,34,0.0562386
14,C125.9,34,0.0550487
15,C125.9,34,0.0544696
16,C125.9,34,0.0524972
17,C125.9,34,0.0519942
18,C125.9,34,0.0471164
19,C125.9,34,0.0520869
20,C125.9,34,0.0572217
1,C250.9,42,0.0934393
2,C250.9,41,0.0736684
3,C250.9,41,0.0763718
4,C250.9,41,0.0852314
5,C250.9,42,0.0676264
6,C250.9,42,0.074191
7,C250.9,43,0.0986597
8,C250.9,43,0.0811423
9,C250.9,42,0.0860552
10,C250.9,43,0.0903268
11,C250.9,41,0.101731
12,C250.9,42,0.0938293
13,C250.9,44,0.115606
14,C250.9,43,0.11626
15,C250.9,40,0.0863646
16,C250.9,42,0.10325
17,C250.9,41,0.100785
18,C250.9,44,0.147376
19,C250.9,42,0.0953424
20,C250.9,41,0.090371
1,C500.9,47,0.0898154
2,C500.9,47,0.110418
3,C500.9,48,0.0955465
4,C500.9,48,0.0876134
5,C500.9,49,0.0850725
6,C500.9,51,0.0953422
7,C500.9,46,0.0859445
8,C500.9,49,0.0916851
9,C500.9,48,0.0867842
10,C500.9,48,0.0902494
11,C500.9,49,0.10008
12,C500.9,51,0.108495
13,C500.9,49,0.109072
14,C500.9,48,0.0826725
15,C500.9,48,0.0880173
16,C500.9,51,0.0931114
17,C500.9,47,0.10457
18,C500.9,49,0.102962
19,C500.9,47,0.0872401
20,C500.9,47,0.0766098
1,DSJC1000_5,13,9.1248
2,DSJC1000_5,13,9.01331
3,DSJC1000_5,13,4.29516
4,DSJC1000_5,13,6.56748
5,DSJC1000_5,13,8.21342
6,DSJC1000_5,13,7.55315
7,DSJC1000_5,14,1.9655
8,DSJC1000_5,14,8.42516
9,DSJC1000_5,13,2.47844
10,DSJC1000_5,14,7.82177
11,DSJC1000_5,13,5.30613
12,DSJC1000_5,13,3.29158
13,DSJC1000_5,12,10.5771
14,DSJC1000_5,12,2.95648
15,DSJC1000_5,14,8.98586
16,DSJC1000_5,14,10.162
17,DSJC1000_5,13,5.84643
18,DSJC1000_5,13,7.07107
19,DSJC1000_5,13,1.52785
20,DSJC1000_5,13,1.35375
1,DSJC500_5,12,2.072
2,DSJC500_5,13,5.36453
3,DSJC500_5,11,1.56561
4,DSJC500_5,12,4.83702
5,DSJC500_5,12,4.63494
